micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
548,Fractograph showing extensive matrix cracking and fibres bridging an opened matrix in a fibre reinforced magnesium aluminosilicate ceramic,"ceramic , fibre , magnesium aluminosilicate",Ceramic,SiC fibre-reinforced magnesium aluminosilicate,Not specified,,,The fibres are drawn and infiltrated with a slurry consisting of a powdered matrix in an organic binder and water. The mixture is hot pressed to give a dense composite.,,,Scanning electron microscopy (SEM),200 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000548.jpg,./miclib_output/images/000548.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=548
549,Misoriented interphase boundary between h-BN (precipitate) and SiC grains (within a silicon nitride particulate-reinforced silicon carbide composite),"boron nitride, ceramic , composite material , silicon carbide, silicon nitride","Ceramic, Composite",Si3N4-SiC composite,Not specified,,,"To form the composite, hot isostatic pressing in tantalum cans is used, with a boron nitride layer sprayed onto the internal surface of the can (to prevent the tantalum reacting with the SiC).",,,High resolution electron microscopy (HREM),1.2 nm,"The occurrence of BN inclusions results from the introduction of colloidal BN into the hot isostatic pressing process. They are formed from B2O3 present as a thin surface film on the BN particles in the barrier layer. B2O3 will be molten during the pressing process and will diffuse rapidly into the powder compact and react with Si3N4 to form BN. Such inclusions can be related to failure under thermal cycling or creep test conditions (due to cavities and microcracks associated with them), may be grain growth controllers, and may influence crack deflection and slow crack growth at high temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000549.jpg,./miclib_output/images/000549.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=549
550,Micrograph showing the complex chemical reactions which arise at fibre-matrix interfaces in a fibre reinforced magnesium aluminosilicate ceramic subjected to oxidation,"ceramic , fibre , magnesium aluminosilicate",Ceramic,SiC fibre-reinforced magnesium aluminosilicate,Not specified,,,The fibres are drawn and infiltrated with a slurry consisting of a powdered matrix in an organic binder and water.. The mixture is hot pressed to give a dense composite.,,,Bright-field TEM,300 nm,An approximately 1.2 micrometre thick interfacial region is seen between the matrix and the fibre. I1-4 are four distinct interlayers with different compositions within this region.,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000550.jpg,./miclib_output/images/000550.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=550
551,A regularly stepped interface boundary between h-BN (precipitate) and Si3N4 grains (within a silicon nitride particulate-reinforced silicon carbide composite),"boron nitride, ceramic , composite material , silicon carbide, silicon nitride","Ceramic, Composite",Si3N4-SiC composite,Not specified,,,"To form the composite, hot isostatic pressing in tantalum cans is used, with a boron nitride layer sprayed onto the internal surface of the can (to prevent the tantalum reacting with the SiC).",,,High resolution electron microscopy (HREM),10 nm,"The occurrence of BN inclusions results from the introduction of colloidal BN into the hot isostatic pressing process. They are formed from B2O3 present as a thin surface film on the BN particles in the barrier layer. B2O3 will be molten during the pressing process and will diffuse rapidly into the powder compact and react with Si3N4 to form BN. Such inclusions can be related to failure under thermal cycling or creep test conditions (due to cavities and microcracks associated with them), may be grain growth controllers, and may influence crack deflection and slow crack growth at high temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000551.jpg,./miclib_output/images/000551.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=551
552,An amorphous phase trapped at a triple junction between Si3N4 grains (within a silicon nitride particulate-reinforced silicon carbide composite).,"ceramic , composite material , silicon carbide, silicon nitride","Ceramic, Composite",Si3N4-SiC composite,Not specified,,,"To form the composite, hot isostatic pressing in tantalum cans is used, with a boron nitride layer sprayed onto the internal surface of the can (to prevent the tantalum reacting with the SiC).",,,High resolution electron microscopy (HREM),20 nm,The amorphous phase extends into at least one of the grain boundaries with a thickness of about 10 angstrom.,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000552.jpg,./miclib_output/images/000552.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=552
553,Image of part of a crystalline triple junction between SiC grains (within a silicon nitride particulate-reinforced silicon carbide composite),"ceramic , composite material , silicon carbide, silicon nitride","Ceramic, Composite",Si3N4-SiC composite,Not specified,,,"To form the composite, hot isostatic pressing in tantalum cans is used, with a boron nitride layer sprayed onto the internal surface of the can (to prevent the tantalum reacting with the SiC).",,,High resolution electron microscopy (HREM),6 nm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000553.jpg,./miclib_output/images/000553.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=553
554,Silicon carbide,"ceramic , silicon carbide",Ceramic,SiC,Not specified,,SiO<sub>2</sub> + 3C = SiC + 2CO,"SiC is usually produced using the Acheson process, which uses petroleum coke and silica as raw materials",Used as an abrasive and refractory material.,As received,Photography (no microscope),10 mm,"Individual hexagonal plate-shaped grains of silicon carbide are visible. The shape of these plates indicates that the silicon carbide is a-SiC, which consists of a mixture of various hexagonal and rhombohedral polytypes of silicon carbide, principally 6H, 15R and 4H in the Ramsdell notation.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000554.jpg,./miclib_output/images/000554.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=554
555,Banded spherulites in a blend of polyethtylenes,"alignment, blend , polyethylene (PE), polymer , quenching , sheaf, spherulite",Polymer,Polyethylene (PE),LPE:BPE 1:3,,,Blend (1:3) of linear and lightly branched polyethylenes. The blend was quenched from 163 degrees C,Polymer blends are commercially important materials. Blending very similar polymers can produce materials with improved properties.,,Transmission electron microscopy (TEM),200 nm,"A replica of a 1:3 blend of linear with lightly branched (BPE has 26 branched per 1000 backbone carbon atoms) polyethylenes after quenching from a mixed melt. The lamellae are of a single type, all of the same thickness. In this case the lamellae are arranged in the familiar banded spherulites.",Dr P J Barham,"Polymer Physics Group, Bristol University",https://www.doitpoms.ac.uk/miclib/micrographs/large/000555.jpg,./miclib_output/images/000555.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=555
556,Sheaf-like arrangement of lamellae in a blend of polyethylenes,"alignment, blend , polyethylene (PE), polymer , quenching , spherulite",Polymer,Polyethylene (PE),LPE:BPE 3:1,,,Blend (3:1) of linear and lightly branched polyethylenes. The blend was melted at 163 degrees C and then cooled to 126 degrees C for isothermal crystallisation,Polymer blends are commercially important materials. Blending very similar polymers can produce materials with improved properties.,,Transmission electron microscopy (TEM),200 nm,"A replica of a 3:1 blend of linear with lightly branched polyethylenes (BPE has 26 branched per 1000 backbone carbon atoms) after isothermal crystallisation at a temperature at which the LPE but not the BPE can crystallise. This sample crystallised from a phase separated melt. There are clearly two lamellar types (The isothermal crystallisation makes the distinction clearer). The thick, LPE rich, lamellae crystallised in sheaf-like groups, from LPE rich droplets contained in a BPE rich matrix. The sheaf-like arrangement is representative of one of the initial stages in spherulite formation.",Dr P J Barham,"Polymer Physics Group, Bristol University",https://www.doitpoms.ac.uk/miclib/micrographs/large/000556.jpg,./miclib_output/images/000556.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=556
557,High Impact Polystyrene (HIPS),"blend , composite material , high impact polystyrene (HIPS), phase inversion, polybutadiene (PB), polymer , polymer composite, polystyrene (PS), rubber , rubber-toughened polymer, tough","Composite, Polymer, Polymer composite",High Impact Polystyrene (HIPS),PS - 15%PB,,,,High Impact Polystyrene (HIPS) is a classical example of a rubber-toughened polymer. Among its applications are riot shields and shatterproof rulers,The specimen has been stained with ink to reveal the rubber phase,Transmitted light microscopy,10 μm,"High impact polystyrene (HIPS) or 'rubber-toughened polystyrene' is a two-phase mixture of polybutadiene (a synthetic rubber) in polystyrene. The two phases are immiscible, with polybutadiene crystallising out of the melt to form spheroidal particles. In fact, polystyrene is the first phase to crystallise, forming even an even finer dispersion of polystyrene particles which become trapped within the polybutadiene when a phase inversion occurs at around 10% solidification.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000557.jpg,./miclib_output/images/000557.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=557
558,High Impact Polystyrene (HIPS),"alignment, blend , composite material , high impact polystyrene (HIPS), phase inversion, polybutadiene (PB), polymer composite, polystyrene (PS), rubber , rubber-toughened polymer, tough","Composite, Polymer, Polymer composite",High Impact Polystyrene (HIPS),PS - 35%PB,,,"The two polymers are immiscible, resulting in phase separation.",High Impact Polystyrene (HIPS) is a classical example of a rubber-toughened polymer. Among its applications are riot shields and shatterproof rulers,The specimen has been stained with ink to reveal the rubber phase,Transmitted light microscopy,20 μm,"High impact polystyrene (HIPS) or 'rubber-toughened polystyrene' is a two-phase mixture of polybutadiene (a synthetic rubber) in polystyrene. The two phases are immiscible, with polybutadiene crystallising out of the melt to form spheroidal particles. In fact, polystyrene is the first phase to crystallise, forming even an even finer dispersion of polystyrene particles which become trapped within the polybutadiene when a phase inversion occurs at around 10% solidification. In the particular region examined in this micrograph, a relatively high local concentration of polybutadiene has resulted in ellipsoid particles or cylinders rather than the more typical spheres.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000558.jpg,./miclib_output/images/000558.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=558
559,Shear bands in stressed polycarbonate,"craze , polycarbonate (PC), polymer , shear bands",Polymer,Polycarbonate (PC),Not specified,,,,"Polycarbonate is a clear and relatively tough plastic used to make shatterproof windows, lenses and even helmets. It is also used to make compact discs.","To promote the formation of shear bands in polycarbonate, acetone is used. This results in the otherwise tough material becoming very brittle",Scanning electron microscopy (SEM),800 μm,"Yielding in glassy polymers often proceeds by a small sheared region propagating through the material. These patterns can be used in the stress analysis of fracture processes. In addition, the colours in the image are the result of birefringence and relate to the strain-induced alignment of the polycarbonate molecules. Because the specimen is below the glass transition temperature of PC (145 deg C), the material will relax when the stress is removed and there will be no residual alignment.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000559.jpg,./miclib_output/images/000559.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=559
560,Crazing near a fracture surface in polystyrene,"craze , crazing, fracture , polymer , polystyrene (PS)","Fracture, Polymer",Polystyrene (PS),Not specified,,,,Polystyrene is hard and inexpensive and its use is very widespread. CD cases and clear plastic cups are common examples. Domestic appliance casings are also typically made from PS,,Photography (no microscope),10 mm,"Crazes are both a precursor to cracking and a toughening mechanism in stressed polymers. They only form when a certain critical tensile stress has been attained and form perpendicular to the largest tensile principal stress. They are very fine crack-like projections from the fracture surface but are bridged by even finer material, giving approximately 50% voids. It is these fibrils which interfere with light in an otherwise transparent polymer to make the crazing visible as a whitening of the strained material.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000560.jpg,./miclib_output/images/000560.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=560
562,Multi-walled carbon nanotube,"carbon, carbon nanotube, nanotube , polymer","Ceramic, Polymer",Carbon nanotube,Not specified,,,This multi-walled nanotube was formed by catalytic cracking of a hydrocarbon gas,Carbon nanotubes may be considered a high performance mechanical polymer or an electrically conducting polymer but their greatest potential is in gas storage or as a filler in polymeric materials,"A dry, untreated aggregate of tubes has been used",Transmission electron microscopy (TEM),3.2 nm,"A variety of techniques may be used for the synthesis of carbon nanotubes. These include electrolysis of molten salts with a graphite cathode, chemical vapour deposition, and striking graphite with an electric arc. This multi-walled tube was produced by the catalytic cracking of a hydrocarbon gas. The graphitic planes are clearly visible and a thin layer of amorphous carbon can be seen on the outer surface of the tube.",Prof A H Windle,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000562.jpg,./miclib_output/images/000562.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=562
563,Carbon nanotubes,"carbon, carbon nanotube, dispersion, film, nanotube , order, polymer , suspension","Ceramic, Polymer",Carbon nanotube,Low concentration (<0.3 vol%) suspension in water,,,A loose aggregate of nanotubes is treated with acids and washed. The treated tubes spontaneously disperse in water,Carbon nanotubes may be considered a high performance mechanical polymer or an electrically conducting polymer but their greatest potential is in gas storage or as a filler in polymeric materials,Solid nanotube films were prepared by filtration onto a 0.2 mm membrane filter under 0.6 bar negative pressure,Field emission gun scanning electron microscopy (FEGSEM),99 nm,"It is necessary to form a stable dispersion of nanotubes in order to properly integrate them into polymeric systems. This can be achieved by treating them with acid to oxidise the tube surfaces. The tubes will then spontaneously disperse in an aqueous medium. The viscosity of these suspensions is analogous to that of polymers; it increases gradually with concentration up to a critical point (at about 0.7 vol%) where entanglement occurs. However, their separation is determined more by surface repulsions than by entropy arising from chain flexibility. Their stiffness suggests that parallel clusters might be a natural state for aggregation but it also means that any deviations form straightness of the tubes (due to defects) will compromise significant tube parallelism. This image was taken using a field emission gun scanning electron microscope (FEGSEM).",Prof A H Windle,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000563.jpg,./miclib_output/images/000563.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=563
564,Aligned array of nanotubes,"alignment, array, carbon, carbon nanotube, chemical vapour deposition (CVD), ferrocene, film, nanotube , order, polymer , quartz","Ceramic, Polymer",Carbon nanotube,Not specified,,,"Chemical vapour deposition onto a quartz substrate, using a fine solution of ferrocene dissolved in toluene","Such architectures may be of interest as nanocomposites for use in nanodevices. More generally, carbon nanotubes may be used for hydrogen storage or for fuel cell applications",The specimen has been sputter-coated with gold to avoid charging in the SEM,Scanning electron microscopy (SEM),25 μm,Chemical vapour deposition (CVD) allows the synthesis of high purity nanotubes of controlled length and diameter. The nanotubes in this specimen were deposited on quartz using ferrocene dissolved in toluene. They are approximately 40 nm in diameter and 60 microns long.,C Singh,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000564.jpg,./miclib_output/images/000564.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=564
565,Vapour-grown carbon nanotubes,"carbon, carbon nanotube, chemical vapour deposition (CVD), ferrocene, nanotube , polymer","Ceramic, Polymer",Carbon nanotube,Not specified,,,"These fibres grow in the heated zone during chemical vapour deposition, using a fine solution of ferrocene dissolved in toluene","Carbon nanotubes may be considered a high performance mechanical polymer or an electrically conducting polymer but have potential uses in nanodevices, sensors, hydrogen storage and fuel cells",The specimen has been sputter-coated with gold to avoid charging in the SEM,Scanning electron microscopy (SEM),5 μm,Chemical vapour deposition (CVD) allows the synthesis of high purity nanotubes of controlled length and diameter. The nanotubes in this specimen were formed in the heated zone of the apparatus whilst using ferrocene dissolved in toluene. The fibres are of high purity and their diameters range from 400 to 500 nm.,C Singh,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000565.jpg,./miclib_output/images/000565.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=565
566,Inversion wall revealed by spontaneous band texture in a liquid crystalline polymer,"alignment, disclination, dislocation , liquid crystalline polymer (LCP), nematic, polymer , spontaneous band texture, texture",Polymer,Liquid crystalline polymer,Rigid copolyester of hydroxybenzoate (HBA) and hydroxynapthoate (HNA) (1:1),,,The band texture forms spontaneously during the solidification of nematic melts of some semi-flexible polymers. It may also be induced by shear,The molecules in a LCP mesophase can be steered by external fields; a property used in display technology. Alignment is also exploited in high strength fibres like Kevlar and mouldable Vectra,,Cross-polarised light microscopy,50 μm,"Above their melting point, liquid crystalline polymers exhibit a mesophase within which, although able to flow and are not arranged in a crystal, they exhibit long range orientational order. This ordering manifests itself in optical birefringence when viewed between crossed polars. Some show an optical band structure which reflects the local alignemnt of zig-zag chain bundles. The band texture forms spontaneously during the solidification of nematic melts of some semi-flexible polymers. It may also be induced by shear. The average chain direction is perpendicular to the long axes of the bands, and hence, the 'director field' (direction of local alignment) can be deduced directly from the orientation of the bands observed under an optical microscope, providing a shortcut to investigating the microstructure of thermotropic liquid crystalline polymers. In particular, the structures of various wedge disclinations and inversion walls can be revealed. These are defects in alignment, analogous to dislocations in a crystal. In this case, the texture of a rigid copolyester of hydroxybenzoate (HBA) and hydroxynapthoate (HNA) (1:1) reveals an inversion wall.",Dr W Song,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000566.jpg,./miclib_output/images/000566.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=566
567,Wedge disclinations revealed by spontaneous band texture in a liquid crystalline polymer,"alignment, disclination, dislocation , liquid crystalline polymer (LCP), nematic, polymer , spontaneous band texture, texture",Polymer,Liquid crystalline polymer,Rigid copolyester of hydroxybenzoate (HBA) and hydroxynapthoate (HNA) (1:1),,,The band texture forms spontaneously during the solidification of nematic melts of some semi-flexible polymers. It may also be induced by shear,The molecules in a LCP mesophase can be steered by external fields; a property used in display technology. Alignment is also exploited in high strength fibres like Kevlar and mouldable Vectra,,Cross-polarised light microscopy,50 μm,"Above their melting point, liquid crystalline polymers exhibit a mesophase within which, although able to flow and are not arranged in a crystal, they exhibit long range orientational order. This ordering manifests itself in optical birefringence when viewed between crossed polars. Some show an optical band structure which reflects the local alignemnt of zig-zag chain bundles. The band texture forms spontaneously during the solidification of nematic melts of some semi-flexible polymers. It may also be induced by shear. The average chain direction is perpendicular to the long axes of the bands, and hence, the 'director field' (direction of local alignment) can be deduced directly from the orientation of the bands observed under an optical microscope, providing a shortcut to investigating the microstructure of thermotropic liquid crystalline polymers. In particular, the structures of various wedge disclinations and inversion walls can be revealed. These are defects in alignment, analogous to dislocations in a crystal. In this case, the texture of a rigid copolyester of hydroxybenzoate (HBA) and hydroxynapthoate (HNA) (1:1) reveals integer wedge disclinations.",Dr W Song,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000567.jpg,./miclib_output/images/000567.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=567
568,Strain induced birefringence in a thermoformed PET cup,"alignment, birefringence , cup, drawing , polyester, polyethylene terephthalate (PET), polymer , strain , thermoforming",Polymer,Polyethylene terephthalate (PET),Not specified,,,The cup is formed by thermoforming; pressing a plug into a heated sheet of PET,"The principle use of poly(ethylene terephtalate) is in the packaging of soft drinks. The resulting bottles are shatterproof, impermeable to the carbon dioxide (PET is amorphous), and can withstand pressure.",,Cross-polarised light microscopy,8 mm,"The base of the cup is the least strained part of the sheet. Nevertheless, residual strain, increasing with radius, is evident when the specimen is viewed between crossed polars. The polymer chains are more highly aligned where the strain is greatest and this leads to greater birefringence (rotation of polarised light). Hence a circumferential pattern of colours is observed. If heated above the glass-transition temperature of PET (70-80 deg C), the cup will tend to retract towards its unstrained form of a sheet. The dark 'Maltese cross', spreading out horizontally and vertically from the centre, indicates the extinction directions or the orientations of the two polarising films, where the intensity of transmitted light is lowest. Note: most clear plastic cups are made from polystyrene (PS).",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000568.jpg,./miclib_output/images/000568.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=568
569,Injection-moulded polystyrene ruler,"alignment, birefringence , injection moulding , polymer , polystyrene (PS), ruler, sprue, strain",Polymer,Polystyrene (PS),Not specified,,,Polystyrene was injected into a mould via an 'edge gate' at the end of the ruler,Polystyrene is hard and inexpensive and its use is very widespread. CD cases and clear plastic cups are common examples. Domestic appliance casings are also typically made from PS,,Cross-polarised light microscopy,11 mm,"The colours in the image are the result of birefringence and relate to the residual strain in the polystyrene. The pattern of strain is indicative of the flow of material during the injection process and it highlights the injection point (known as a 'gate') at the end of the ruler; the molecular alignment is greatest near this point. Towards the edges of the ruler and along its length, the material becomes more relaxed and as the molecular alignment falls, the retardation of light is less. If heated above the glass transition temperature of polystyrene (about 100 deg C), the material will tend to relax, particularly along the centreline, near the gate. This will result in a wrinkled form.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000569.jpg,./miclib_output/images/000569.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=569
570,Strain-induced birefringence in a notched polycarbonate bar,"bending, birefringence , polycarbonate (PC), polymer , stress",Polymer,Polycarbonate (PC),Not specified,,,,"Polycarbonate is a clear and relatively tough plastic used to make shatterproof windows, lenses and even helmets. It is also used to make compact discs.",A notch has been cut in the bar to illustrate stress concentration. A four-point bending rig is used to apply stress.,Cross-polarised light microscopy,6 mm,"The colours in the image are the result of birefringence and relate to the strain-induced alignment of the polycarbonate molecules. Because the specimen is below the glass transition temperature of PC (145 deg C), the material will relax when the stress is removed and there will be no residual alignment. The colours reveal the pattern of stress concentration around the notch.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000570.jpg,./miclib_output/images/000570.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=570
571,Strain-induced birefringence in a polycarbonate bar,"bending, birefringence , polycarbonate (PC), polymer , stress",Polymer,Polycarbonate (PC),Not specified,,,,"Polycarbonate is a clear and relatively tough plastic used to make shatterproof windows, lenses and even helmets. It is also used to make compact discs.",A four-point bending rig is used to apply stress.,Cross-polarised light microscopy,14 mm,"The colours in the image are the result of birefringence and relate to the strain-induced alignment of the polycarbonate molecules. Because the specimen is below the glass transition temperature of PC (145 deg C), the material will relax when the stress is removed and there will be no residual alignment. The colours reveal the pattern of stress concentration around the points of contact with the rig, with a neutral axis along the centre and opposite values of birefringence on either side.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000571.jpg,./miclib_output/images/000571.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=571
572,Birefringence in a film of polypropylene,"alignment, birefringence , extrusion , film, polymer , polypropylene (PP)",Polymer,Polypropylene (PP),Not specified,,,This film is made by biaxially stretching heated material during the extrusion process.,"Polypropylene has good resistance to chemicals and to fatigue. It is widely used in food packaging in the form of rigid tubs, lids and screw-tops as well as in flexible (but inextensible) films.","The packet has been torn open, to demonstrate its inextensibility",Cross-polarised light microscopy,10 mm,"The colours in the image are the result of birefringence and relate to the residual stress in the film, following the biaxial stretching process. The uniformity of the colour (with contrast only where an additional thickness of film exists or where wrinkling has resulted in a different apparent thickness) is indicative of both a uniform film thickness and of the uniformity of the drawing process used to make the film. Note that unlike polyethylene, the film has not been permanently strained in the region of the tear. This is because the monomer is bulkier and the material is relatively close to its glass transition temperature (~8 deg C for PP, ~-30 deg C for PE). Chain alignment and subsequent sliding is therefore much more sluggish and does not occur readily under an applied stress.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000572.jpg,./miclib_output/images/000572.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=572
573,Birefringence in a film of polyethylene,"alignment, birefringence , extrusion , film, polyethylene (PE), polymer , polythene",Polymer,Low density polyethylene (LDPE),Not specified,,,This film is made by biaxially stretching heated material during the extrusion process.,Polyethylene is the most common polymer. Low density polyethylene (LDPE) is widely used as a film for packaging,"The packet has been torn open, to demonstrate residual chain alignement around the tear",Cross-polarised light microscopy,14 mm,"The colours in the image are the result of birefringence and relate to the residual stress in the film. The colour is generally uniform (with some contrast where an additional thickness of film exists or where wrinkling has resulted in a different apparent thickness). This is indicative of both a uniform film thickness and of the uniformity of the drawing process used to make the film. In the region of the tear, however, the colours indicate strain-induced orientation: because the material is above the glass transition temperature of PE (-30 deg C) chain sliding occurs readily under and applied stress and the molecules become aligned along the tensile axis. The strain is permanent and does not relax when the stress is removed. However, if the material were annealed at ~100 deg C, it would relax towards its original configuration, and uniform colour would again be observed.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000573.jpg,./miclib_output/images/000573.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=573
574,Injection-moulded polystyrene (PS) case,"alignment, birefringence , injection moulding , polymer , polystyrene (PS), sprue",Polymer,Polystyrene (PS),Not specified,,,Polystyrene was injected into a mould via a noticeable 'sprue',Polystyrene is hard and inexpensive and its use is very widespread. CD cases and clear plastic cups are common examples. Domestic appliance casings are also typically made from PS,,Cross-polarised light microscopy,14 mm,"The colours in the image are the result of birefringence and relate to the residual strain in the polystyrene. The pattern of strain is indicative of the flow of material during the injection process and it highlights the injection point (known as a 'sprue') which can also be identified by a small lump on the surface; the molecular alignment is greatest near this point. Towards the edges of the ruler and along its length, the material becomes more relaxed and as the molecular alignment falls, the retardation of light is less. If heated above the glass transition temperature of polystyrene (about 100 deg C), the material will tend to relax, particularly near the sprue. This will result in a wrinkling of the component.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000574.jpg,./miclib_output/images/000574.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=574
575,Injection-moulded protractor,"alignment, birefringence , injection moulding , polymer , polystyrene (PS), protractor, sprue, weld",Polymer,Polystyrene (PS),Not specified,,,Polystyrene was injected into a mould from a single point and has flowed round the component to meet at a noticeable 'weld line',Polystyrene is hard and inexpensive and its use is very widespread. CD cases and clear plastic cups are common examples. Domestic appliance casings are also typically made from PS,,Cross-polarised light microscopy,6 mm,The colours in the image are the result of birefringence and relate to the residual strain in the polystyrene. The pattern of strain is indicative of the flow of material during the injection process and it highlights a 'weld line' where two distinct flows of material meet. The weld line is a common point of failure because there is limited intermixing of the two fronts during the time allowed.,J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000575.jpg,./miclib_output/images/000575.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=575
576,Injection-moulded protractor,"alignment, birefringence , injection moulding , polymer , polystyrene (PS), protractor, sprue, weld",Polymer,Polystyrene (PS),Not specified,,,Polystyrene was injected into a mould from a single point and has flowed round the component to meet at two noticeable 'weld lines',Polystyrene is hard and inexpensive and its use is very widespread. CD cases and clear plastic cups are common examples. Domestic appliance casings are also typically made from PS,,Cross-polarised light microscopy,30 mm,"The colours in the image are the result of birefringence and relate to the residual strain in the polystyrene. The pattern of strain is indicative of the flow of material during the injection process and it highlights the injection point (at 152 degrees on the outer scale), and two 'weld lines' (at 338 and on the central bar) where two distinct flows of material meet. The weld line is a common point of failure because there is limited intermixing of the two fronts during the time allowed.",J A Curran,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000576.jpg,./miclib_output/images/000576.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=576
